"Slider.v1.0.16b","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"IsValid","","NonDialogueFontScale","","DialogueFontScale","","Author","",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all non-dialogue text, 1.0 for full size.","","Float value that scales font size of all dialogue text, 1.0 for full size.","","The author(s) of this file, will appear in credits","",
"Path","Orig","Translation","Metadata",
"ConventionMode/ConventionCanvas/Alpha Gameplay Label","Pre-Alpha Gameplay","Pre-Alpha Gameplay","TinyUnicode;8",
"ConventionMode/ConventionCanvas/Panel/RestartingText","Game is restarting...
Press any key to cancel.","Game is restarting...
Press any key to cancel.","PixelTitanZero;16",
"UICanvas/MM Panel/MainMenu Panel/Continue Button/Text","Continue","Continue","PixelTitanOne;16",
"UICanvas/MM Panel/MainMenu Panel/Credits Button/Text","Credits","Credits","PixelTitanOne;16",
"UICanvas/MM Panel/MainMenu Panel/Options Button/Text","Options","Options","PixelTitanOne;16",
"UICanvas/MM Panel/MainMenu Panel/Play Button/Text","Play","Play","PixelTitanOne;16",
"UICanvas/MM Panel/MainMenu Panel/Quit Button/Text","Quit","Quit","PixelTitanOne;16",
"UICanvas/MM Panel/OtherElements/Locale Selector/Dropdown","","","PixelUnicode;16",
"UICanvas/MM Panel/OtherElements/Version","v0.0.00","v0.0.00","PixelUnicode;7",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Caps Button/Text","Caps","Caps","PixelTitanZero;18",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Delete Button/Text","Del","Del","PixelTitanZero;18",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Done Button/Text","Done","Done","PixelTitanZero;18",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/E/Text","e","e","PixelUnicode;16",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/I/Text","i","i","PixelUnicode;16",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/O/Text","o","o","PixelUnicode;16",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/P/Text","p","p","PixelUnicode;16",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/Q/Text","q","q","PixelUnicode;16",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/R/Text","r","r","PixelUnicode;16",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/T/Text","t","t","PixelUnicode;16",
