"Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- In general, any consecutive string of \r and \n (in any order) will be
  treated as one SINGLE line break, except within an enclosed context
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first three will be parsed (you can use the rest as comments if needed)
- The file must end in a sequence of \r and \n's
- Every cell containing a ^, \r, or \n must be enclosed in ""
  - If a "" is encountered right after a non-enclosed separator, \r, or \n,
    then the parser is said to enter an ""enclosed context"", such context
    ends immediately when a non-escaped "" that is not followed by \r, \n,
    or a separator is encountered
  - "" within each cell should be escaped using another "" in front of it,
  - If a "" is encountered in a non-enclosed context, and it is not right
    after a separator, \r, or \n, then it is entirely ignored
  - If a non-escaped "" is encountered in an enclosed context...
    - If it is followed by a separator, \r, or \n, then it is considered
      the closing quote of the current context
    - Otherwise, it is ignored
  - If a separator, \r, or \n is encountered while in an enclosed context,
    it will be preserved
",
"IsValid"," ","NonDialogueFontScale"," ","DialogueFontScale"," ",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback"," ","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size."," ","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size. Recommended setting is around 0.3~0.6."," ",
"Path","Orig","Translation",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (12)/Sunglasses Total Text","2","_ho_2_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem Breadge/Breadge Total Text","9","_yar_9_yar_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem Oil/Oil Total Text","4","_yar_4_yar_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Text/ItemNameText","Collection","_yar_Collection_yar_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/WorldMapPanel/Text/AreaNameText","Map
","_arrr_Map
_arrr_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/WorldMapPanel/Text/AreaNameTextBG","Map
","_yar_Map
_yar_",
"Map/EightPuzzle/Cave STile (1)/Objects/Warning Sign@0:0","DANGER: Light
Sensitive Fungi.","_yar_DANGER: Light
Sensit_yar_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@0:0","Hey uh... the devs haven't put this puzzle in yet...","_yar_Hey uh... the devs h_yar_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@0:1","One day the computer will work though. Fear that day!","_arrr_One day the computer_arrr_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@1:0","Just... just one more round! I'm starting to get good with dice.","_ho_Just... just one mor_ho_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@2:0","...","_arrr_..._arrr_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@0:0","Heyo! So funny story.","_yar_Heyo! So funny story_yar_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@0:1","I was doing maintenance on the power cause the line got chewed out. When a RAT showed up and started squeakin' about. Gave me a lil' jump and I tripped. Flipped the switch and doors shut, and dropped my keys. Then that darn RAT took 'em! And now here I am. In a bit of a tickle one might say.","_arrr_I was doing maintena_arrr_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@0:2","Sorry I meant pickle.","_yar_Sorry I meant pickle_yar_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@0:3","Anyways I'd owe you a lunch if you got me my keys back.","_yar_Anyways I'd owe you _yar_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@1:0","Heyo, you got the key!","_arrr_Heyo, you got the ke_arrr_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@2:0","Thanks for grabbing it, don't know what I would do without ya.","_yar_Thanks for grabbing _yar_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@2:1","No really, thanks a lot.","_ho_No really, thanks a _ho_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@2:2","I mean it.","_arrr_I mean it._arrr_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@3:0","Heyo thanks a ton, really.","_yar_Heyo thanks a ton, r_yar_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@3:1","The Factory foreman would've been ON ME if it wasn't fixed.","_arrr_The Factory foreman _arrr_",
"Map/EightPuzzle/Cave STile (4)/Objects/Blind Worker@0:0","Someone there? Welcome to the Cavern Station!","_arrr_Someone there? Welco_arrr_",
"Map/EightPuzzle/Cave STile (4)/Objects/Blind Worker@0:1","I'd show you in, but I can't quite see the door.","_arrr_I'd show you in, but_arrr_",
"Map/EightPuzzle/Cave STile (4)/Objects/Blind Worker@1:0","Ah... so dark again.","_arrr_Ah... so dark again._arrr_",
"Map/EightPuzzle/Cave STile (4)/Objects/Blind Worker@2:0","There's the door! And my work bench!","_yar_There's the door! An_yar_",
"Map/EightPuzzle/Cave STile (4)/Objects/Blind Worker@3:0","Thanks for getting things up and running again.","_arrr_Thanks for getting t_arrr_",
"Map/EightPuzzle/Cave STile (4)/Objects/Blind Worker@3:1","Ever since they put me on fungus removal duty it's been hard to see.","_yar_Ever since they put _yar_",
"Map/EightPuzzle/Cave STile (4)/Objects/Blind Worker@3:2","These 10 kilowatt lights are so convenient though!","_yar_These 10 kilowatt li_yar_",
"Map/EightPuzzle/Cave STile (4)/Objects/Blind Worker@4:0","Why do people write so small... what do these labels even say?","_arrr_Why do people write _arrr_",
"Map/EightPuzzle/Cave STile (4)/Objects/Minecart Operator@0:0","The minecart is broken!","_yar_The minecart is brok_yar_",
"Map/EightPuzzle/Cave STile (4)/Objects/Minecart Operator@0:1","We'll need supplies from the jungle to fix it.","_ho_We'll need supplies _ho_",
"Map/EightPuzzle/Cave STile (4)/Objects/Minecart Operator@0:2","What? The bridge is broken??","_ho_What? The bridge is _ho_",
"Map/EightPuzzle/Cave STile (4)/Objects/Minecart Operator@0:3","Ugh... this is never getting fixed.","_yar_Ugh... this is never_yar_",
"Map/EightPuzzle/Cave STile (4)/Objects/Minecart Operator@1:0","Is the bridge fixed yet?","_arrr_Is the bridge fixed _arrr_",
"Map/EightPuzzle/Cave STile (4)/Objects/Minecart Operator@1:1","There's a path to Canopy Town behind Bob's Tavern but... that's way too far for us.","_yar_There's a path to Ca_yar_",
"Map/EightPuzzle/Cave STile (4)/Objects/Minecart Operator@2:0","Oh man you fixed it! We can finally work on fixing the transport from the Crystal Mines.","_arrr_Oh man you fixed it!_arrr_",
