"Slider.v1.0.17","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"IsValid","","NonDialogueFontScale","","DialogueFontScale","","Author","",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all non-dialogue text, 1.0 for full size.","","Float value that scales font size of all dialogue text, 1.0 for full size.","","The author(s) of this file, will appear in credits","",
"Path","Orig","Translation","Metadata",
"BG Text Daniel and VGDev/Text","A Game by 

Daniel Carr 

and 

VGDev","由

Daniel Carr 

以及 

VGDev制作","family:PixelTitanOne;size:1;lineSpacing:-32;",
"BG Text Thank you/Text","Thank you

for playing!","感谢游玩！","family:PixelTitanOne;size:1;lineSpacing:-32;",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text","Allison Lu","Allison Lu","family:PixelTitanOne;size:1;lineSpacing:0;",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (1)","Art
Programming","美术
程序","family:PixelTitanZero;size:1;lineSpacing:0;",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (2)","Avery Greer","Avery Greer","family:PixelTitanOne;size:1;lineSpacing:0;",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (3)","Programming
Audio","程序
音效","family:PixelTitanZero;size:1;lineSpacing:0;",
"Map/Tiles/Art TIle/WorldCanvas/Text","Additional Art","额外美术","family:PixelTitanOne;size:1;lineSpacing:0;",
"Map/Tiles/Art TIle/WorldCanvas/Text (1)","Nathaniel Koehler
Elizabeth Liu
Cynthia Peng
Gazal Mathur
Mike Wang
Esther Moon
Nia Bellamy","Nathaniel Koehler
Elizabeth Liu
Cynthia Peng
Gazal Mathur
Mike Wang
Esther Moon
Nia Bellamy","family:PixelTitanZero;size:1;lineSpacing:0;",
"Map/Tiles/Audio tile/WorldCanvas/Text","Made using FMOD Studio by Firelight Technologies Pty Ltd.
","使用 FMOD Studio by Firelight 
Technologies Pty Ltd.制作
","family:PixelTitanZero;size:1;lineSpacing:0;",
"Map/Tiles/Audio tile/WorldCanvas/Text (1)","Additional sound from ZapSplat and SFXR","额外音效来源ZapSplat and SFXR","family:PixelTitanZero;size:1;lineSpacing:0;",
"Map/Tiles/Boomo Tile/WorldCanvas/Text","Daniel Carr","Daniel Carr","family:PixelTitanOne;size:1;lineSpacing:0;",
"Map/Tiles/Boomo Tile/WorldCanvas/Text (1)","Project Lead","项目主导","family:PixelTitanZero;size:1;lineSpacing:0;",
"Map/Tiles/Chase Tile/WorldCanvas/Text","Chase O'Brien","Chase O'Brien","family:PixelTitanOne;size:1;lineSpacing:-32;",
